Obj1,Obj2,Obj3,Obj4,Obj5,Obj6,Obj7,Obj8,Obj9,Obj10
0.63534,0.91726,0.78175,0.0053224,0.030314,0.046932,0.0088025,0.48932,0.26819,0.0050685
0.90173,0.88772,0.80878,0.06534,0.12247,0.0074807,0.047992,0.084744,0.8881,0.0082723
0.1988,0.082825,0.24025,0.98328,0.046631,0.066151,0.014215,0.57117,0.94824,0.034374
0.6854,0.17896,0.19145,0.96843,0.12048,0.044349,0.010871,0.50732,0.81198,0.017646
0.30166,0.0082282,0.36587,0.88851,0.027319,0.0052775,0.013068,0.337,0.98226,0.10442
0,0.60842,0.73388,0.97648,0.071001,0.03805,0.056596,0.8772,0.5172,0.014266
0.82777,0.73112,0.11376,0.72531,0.20588,0.013679,0.0041997,0.32503,0.08714,0.18655
0.42414,0.78427,0.43157,0.83016,0.11542,0.011111,0.0032947,0.44503,0.64892,0.014268
0.065941,0.21701,0,0.74085,0.019072,0.0043409,0.14854,0.2124,0.1687,0.052168
0.94736,1,0.05705,0.21091,0.46672,0.0051482,0.056488,0.77919,0.86501,0.0064141
0.38052,0.4985,0.72421,0.48244,0.031306,0.01556,0,0.24995,0.95483,0.02576
0.58583,0.059307,0.82089,0.84283,0.0741,0.011213,0.00997,0.51746,0.07729,0.348
0.22333,0.18005,0.93282,0,0.62463,0.010402,0.22033,0.52396,0.27905,0.019668
0.65418,0.34639,0.93483,0.59296,0.027035,0.0052664,0.023766,0.88787,0.80448,0.085806
0.35527,0.91081,0.63992,0.46194,0.0060388,0.015777,0.019009,0.95616,0.43093,0.011101
0.47474,0.038751,0.12016,0.060502,0.010017,0.034655,0.33488,0.011055,0.48404,0.014583
0.39188,0.36424,0.047779,0.47127,0.044829,0.002921,0.029471,1,0,0.11988
0.32118,0.66125,0.79438,0.89714,0,0.033795,0.039239,0.63157,0.5678,0.070112
0.25223,0.85606,0.75744,0.66009,0.001951,0.0043478,0.0083881,0.036484,0.56761,0.088072
0.77319,0.040731,0.63616,0.79218,0.1617,0.017279,0.0044213,0.18448,0.74453,0.064031
0.2239,0.81748,0.74382,1,0.097908,0.010926,0.025783,0.3419,0.049229,0.069674
0.97463,0.047526,0.1948,0.34634,0.29936,0.0098269,0.0079701,0.41292,0.79207,0.068674
0.93535,0.30284,0.81259,0.79689,0.35364,0.014055,0.09437,0.76534,0.17143,0.1001
0.25916,0.27756,1,0.93281,0.032526,0.029174,0.015609,0.93292,0.52419,0.019569
0.20608,0.94513,0.4214,0.46199,0.27562,0.0044186,0.053582,0.62882,0.93526,0.020808
0.23612,0.62453,0.23937,0.55653,0.030339,0.032216,0.01237,0.97561,1,0.061782
0.23078,0.51706,0.48399,0.69693,0.016254,0.039578,0.4257,0.76213,0.98875,0.015809
0.22306,0.76104,0.68108,0.50025,0.033887,0.004872,0.12204,0.51864,0.28776,0.35775
0.41954,0.11099,0.87248,0.19425,0.011707,0.0082146,0.0017997,0.86313,0.75702,0.057605
0.83368,0.91498,0.96948,0.23999,0.01506,0.0085586,0.0026751,0.82689,0.18487,0.05772
0.6163,0.54551,0.11728,0.43914,0.033264,0.029653,0.0080348,0.099743,0.86966,0.056105
0.17546,0,0.70996,0.014316,0.24961,0.011641,0.010383,0.76809,0.65688,0.091975
0.8151,0.16382,0.06651,0.8019,1,0.0093215,0.067133,0.61552,0.075992,0.29113
1,0.26735,0.091012,0.064473,0.028147,0.0019666,0.053003,0.38205,0.57598,0.12939
0.12832,0.034742,0.11985,0.46027,0.032389,0.034124,0.042354,0.85373,0.97641,0.1424
0.86191,0.70427,0.52045,0.57925,0.067662,0.051342,0.0024222,0,0.8524,0.63588
0.22204,0.023632,0.48572,0.6514,0.06531,0.012599,0.007247,0.061547,0.75647,0.26281
0.40776,0.5147,0.44826,0.46514,0.021836,0.0024155,0.0022947,0.96731,0.70414,0.044753
0.30931,0.49465,0.81591,0.084763,0.037916,0.047103,0.012796,0.38032,0.22697,0
0.42557,0.28421,0.53494,0.30206,0.052693,0.013236,0.0051322,0.52518,0.010899,0.56743
0.31454,0.60895,0.68094,0.076364,0.00053861,0.024228,0.024067,0.92004,0.45225,0.058496
0.076628,0.29346,0.48735,0.77974,0.10264,0.056087,0.022525,0.32079,0.091849,0.23281
0.67252,0.95189,0.33013,0.3689,0.041489,0.033236,0.002669,0.66513,0.13811,0.02979
0.024965,0.00059325,0.25302,0.69645,0.0097543,0.011139,0.10958,0.73261,0.40797,0.083573
0.18288,0.58192,0.99909,0.5139,0.067446,0.061574,0.0067346,0.19637,0.66552,0.17295
0.49336,0.37807,0.25882,0.40769,0.0097624,0,0.13254,0.54984,0.98651,0.047434
0.26038,0.38084,0.80732,0.34803,0.0079797,1,0.018525,0.44328,0.2615,1
0.41054,0.016343,0.50168,0.10829,0.013951,0.019647,0.0056271,0.60811,0.52468,0.035283
0.59527,0.70967,0.31771,0.39465,0.039793,0.0056482,0.091379,0.53765,0.94212,0.4238
0.024742,0.57155,0.62609,0.40218,0.095674,0.22393,1,0.51039,0.14338,0.048386
