Obj1,Obj2
0,1
0,1
0,1
0,1
0,1
0,1
0.0013363,0.99362
0.002322,0.98911
0.0034792,0.98399
0.0050979,0.97676
0.005933,0.9734
0.0069949,0.96874
0.0083223,0.96311
0.0096558,0.95778
0.010552,0.95378
0.011764,0.94901
0.012899,0.94442
0.014201,0.93915
0.015333,0.93476
0.016314,0.93098
0.017505,0.92641
0.018723,0.92179
0.019775,0.91786
0.02095,0.91352
0.022036,0.90997
0.022997,0.90613
0.024085,0.90244
0.025197,0.89778
0.02624,0.89425
0.027307,0.89044
0.028433,0.88692
0.029555,0.88276
0.030617,0.8798
0.031626,0.87619
0.03271,0.87255
0.033838,0.86849
0.034766,0.86564
0.03577,0.86191
0.036815,0.85864
0.037896,0.85498
0.039033,0.85137
0.040003,0.8485
0.040998,0.84558
0.041991,0.84279
0.042891,0.8398
0.043959,0.83672
0.044934,0.83372
0.046006,0.8309
0.047069,0.82721
0.04804,0.82516
0.049108,0.82076
0.050154,0.81829
0.050979,0.81576
0.051896,0.81264
0.052968,0.80955
0.053907,0.80746
0.054906,0.80437
0.055875,0.80157
0.056739,0.799
0.057822,0.79608
0.058738,0.79371
0.059703,0.79082
0.060757,0.78792
0.061585,0.78525
0.062643,0.78259
0.063506,0.78033
0.064502,0.77795
0.06542,0.77505
0.066259,0.77292
0.06731,0.77092
0.068216,0.76815
0.069175,0.7658
0.070029,0.76315
0.07099,0.76067
0.071962,0.75863
0.072942,0.75594
0.073844,0.75396
0.074709,0.75149
0.075658,0.74944
0.076592,0.74647
0.077451,0.74418
0.078355,0.74203
0.079242,0.74006
0.080172,0.73757
0.081118,0.73548
0.082085,0.73265
0.082927,0.73044
0.083865,0.72914
0.084796,0.72631
0.085645,0.725
0.086465,0.72228
0.087427,0.72037
0.088279,0.71823
0.089197,0.71622
0.090082,0.71396
0.090982,0.71167
0.091807,0.70964
0.092749,0.70754
0.093592,0.70534
0.094459,0.7037
0.095388,0.70197
0.096269,0.70007
0.097144,0.69761
0.097957,0.69562
0.09885,0.6936
0.099744,0.69182
0.10056,0.68975
0.10143,0.68776
0.10229,0.68586
0.10318,0.68399
0.10398,0.68221
0.10499,0.68049
0.10581,0.67836
0.10661,0.6767
0.10746,0.67478
0.10827,0.67275
0.10917,0.67097
0.11013,0.66964
0.11092,0.66756
0.11176,0.66581
0.1126,0.66371
0.11352,0.66208
0.11438,0.66058
0.11518,0.65857
0.11602,0.65678
0.11688,0.65515
0.11776,0.6533
0.11857,0.65171
0.11944,0.65022
0.12028,0.64842
0.12112,0.64667
0.12199,0.64513
0.12278,0.64315
0.12362,0.6415
0.12449,0.63974
0.12531,0.63805
0.12612,0.63657
0.12698,0.63461
0.12778,0.63302
0.12862,0.63145
0.12949,0.63002
0.13029,0.62801
0.13113,0.62666
0.13198,0.62547
0.13281,0.62343
0.13366,0.62206
0.1345,0.62056
0.13533,0.61901
0.1362,0.61759
0.13702,0.61586
0.13779,0.61429
0.13859,0.61275
0.13931,0.61099
0.14029,0.60973
0.14111,0.60815
0.14191,0.60655
0.14276,0.60494
0.14359,0.60328
0.1444,0.6018
0.14515,0.60021
0.14598,0.59891
0.14675,0.59732
0.14772,0.59612
0.14841,0.5943
0.14926,0.59283
0.1501,0.59178
0.15082,0.59001
0.15169,0.58851
0.15248,0.58707
0.15324,0.58562
0.15403,0.58422
0.15489,0.58278
0.15576,0.58152
0.1564,0.58001
0.15744,0.57893
0.15823,0.57728
0.15895,0.57574
0.15981,0.57452
0.16052,0.5729
0.16143,0.57171
0.16216,0.57019
0.16303,0.56902
0.16388,0.56746
0.16462,0.56605
0.16546,0.56492
0.16622,0.56339
0.1671,0.56215
0.16779,0.56076
0.16866,0.55947
0.16948,0.55812
0.17031,0.55702
0.17107,0.55535
0.17182,0.55407
0.17276,0.55278
0.17344,0.55153
0.1743,0.55019
0.17512,0.54894
0.17584,0.54755
0.17672,0.54621
0.1775,0.545
0.1782,0.54375
0.17912,0.54236
0.17992,0.54121
0.18076,0.5396
0.18152,0.53873
0.18236,0.53748
0.18312,0.53611
0.18393,0.53493
0.18471,0.53363
0.18551,0.53245
0.18639,0.53133
0.18716,0.52971
0.18787,0.52862
0.18876,0.52752
0.18944,0.52606
0.19026,0.52479
0.19119,0.52382
0.19195,0.52262
0.19273,0.52133
0.19355,0.52018
0.19433,0.51872
0.19511,0.51759
0.19587,0.51641
0.19675,0.51543
0.19745,0.51384
0.19831,0.51277
0.19901,0.51152
0.19979,0.51035
0.2007,0.50924
0.20152,0.50813
0.20234,0.50699
0.20301,0.50568
0.20386,0.5044
0.20469,0.50334
0.2055,0.5024
0.20618,0.50102
0.20694,0.49964
0.20776,0.49852
0.20859,0.49756
0.20938,0.49633
0.21027,0.49529
0.21096,0.49396
0.21169,0.4928
0.2127,0.49205
0.21334,0.49057
0.21422,0.48957
0.2149,0.48829
0.21585,0.4874
0.21648,0.48607
0.21732,0.48498
0.21823,0.48409
0.2189,0.48279
0.21974,0.48171
0.22052,0.48051
0.22126,0.47938
0.2222,0.4785
0.22297,0.47723
0.22383,0.47632
0.22464,0.47519
0.22539,0.4742
0.22617,0.47293
0.22693,0.47175
0.22779,0.47078
0.22866,0.46988
0.22936,0.46845
0.2301,0.46718
0.23094,0.46638
0.23188,0.46553
0.23248,0.46416
0.23329,0.46308
0.23409,0.46205
0.235,0.46112
0.23566,0.45989
0.23661,0.45909
0.23732,0.45783
0.23815,0.45688
0.23892,0.4557
0.23983,0.45491
0.24045,0.45362
0.24134,0.45263
0.24213,0.45159
0.2429,0.45046
0.24374,0.44951
0.24446,0.44834
0.2453,0.44728
0.24614,0.44635
0.24694,0.4453
0.24774,0.44437
0.24855,0.4433
0.24942,0.44244
0.25019,0.44138
0.25085,0.44005
0.25174,0.43911
0.2525,0.43802
0.25336,0.43711
0.25409,0.43597
0.2549,0.43504
0.25574,0.43406
0.25653,0.43304
0.25738,0.43209
0.25822,0.43114
0.25903,0.43008
0.25975,0.42906
0.26057,0.42808
0.26139,0.42708
0.26216,0.42596
0.26297,0.42504
0.26368,0.42389
0.26456,0.42298
0.26533,0.42197
0.26615,0.42087
0.26706,0.42019
0.26777,0.41902
0.26862,0.41818
0.26946,0.41717
0.27031,0.41627
0.2712,0.41534
0.27194,0.41433
0.2727,0.41325
0.27369,0.41246
0.27424,0.41125
0.27506,0.41027
0.27604,0.4095
0.27687,0.40851
0.27759,0.40748
0.27834,0.40643
0.27925,0.4056
0.28015,0.40472
0.28096,0.40379
0.28167,0.40267
0.28249,0.40167
0.28332,0.40079
0.28411,0.39986
0.28493,0.39881
0.28577,0.39804
0.28669,0.39715
0.28755,0.39624
0.28818,0.3951
0.28912,0.39429
0.28995,0.39333
0.29073,0.39235
0.29161,0.39151
0.2924,0.39051
0.29317,0.38949
0.29394,0.38852
0.29481,0.38768
0.29554,0.38669
0.29645,0.38565
0.2974,0.385
0.29812,0.38402
0.29907,0.38315
0.29982,0.38214
0.30062,0.38118
0.30171,0.38057
0.30236,0.37946
0.30315,0.37846
0.304,0.37751
0.30491,0.37674
0.30565,0.3757
0.30647,0.37477
0.30735,0.3739
0.30823,0.37306
0.30914,0.37227
0.30993,0.37131
0.31073,0.37037
0.31161,0.36948
0.31245,0.3686
0.31321,0.36749
0.31423,0.36687
0.31492,0.36581
0.31594,0.36509
0.31643,0.36381
0.31749,0.36318
0.31828,0.36223
0.31906,0.36117
0.3201,0.36051
0.32064,0.35938
0.32186,0.35885
0.32246,0.35775
0.3234,0.35697
0.32449,0.35626
0.32506,0.35506
0.32591,0.35426
0.32675,0.35328
0.3276,0.35238
0.32848,0.35156
0.32931,0.35076
0.3301,0.34969
0.33096,0.34886
0.33185,0.3481
0.3328,0.34722
0.33359,0.34623
0.33446,0.34541
0.33543,0.34459
0.33633,0.34377
0.33706,0.34285
0.33792,0.34194
0.33871,0.34107
0.33978,0.34034
0.34054,0.33934
0.34163,0.33874
0.34242,0.33773
0.34344,0.33705
0.34416,0.33602
0.34481,0.33498
0.34566,0.33412
0.34654,0.33325
0.3475,0.33241
0.34836,0.33157
