Obj1,Obj2,Obj3,Obj4,Obj5
0.49174,0.25247,0.17444,0.24155,0.60459
0.47748,0.26144,0.1826,0.25534,0.5944
0.45103,0.27863,0.19759,0.28827,0.57475
0.40094,0.32387,0.23739,0.34517,0.52378
0.34709,0.37348,0.28922,0.40333,0.46766
0.31153,0.41308,0.33457,0.44667,0.4221
0.288,0.44506,0.36585,0.46142,0.38778
0.26304,0.47099,0.39324,0.4751,0.36362
0.26162,0.47969,0.40437,0.48106,0.35362
0.27138,0.47156,0.40037,0.469,0.35945
0.47698,0.26317,0.1998,0.24662,0.59039
0.4626,0.26921,0.2053,0.26855,0.57732
0.4248,0.29854,0.2293,0.30514,0.54673
0.37388,0.34476,0.27018,0.38161,0.49587
0.31864,0.40385,0.327,0.43552,0.43067
0.27828,0.4493,0.37524,0.47619,0.38415
0.25764,0.47642,0.40822,0.4967,0.35534
0.24744,0.49349,0.42002,0.49559,0.341
0.25252,0.49146,0.41968,0.49013,0.34195
0.45818,0.27969,0.23285,0.26421,0.56075
0.42475,0.30592,0.25661,0.29432,0.5305
0.38572,0.33417,0.30233,0.35166,0.49401
0.32564,0.39215,0.34355,0.42922,0.43705
0.28473,0.44529,0.3963,0.48052,0.38054
0.24355,0.49006,0.42566,0.50984,0.34284
0.23336,0.50879,0.44365,0.51823,0.32487
0.23884,0.50418,0.43612,0.50223,0.33031
0.41859,0.31912,0.28252,0.3008,0.51192
0.39011,0.3423,0.31326,0.33159,0.48475
0.33708,0.38964,0.36698,0.39285,0.435
0.29237,0.44027,0.41017,0.46023,0.38135
0.24963,0.49304,0.45025,0.51026,0.33385
0.22437,0.52423,0.47151,0.5348,0.30826
0.22378,0.52467,0.46493,0.5293,0.30967
0.37812,0.36831,0.34243,0.33858,0.46316
0.33999,0.40424,0.38369,0.38556,0.421
0.30165,0.43776,0.41811,0.43471,0.38486
0.25912,0.4947,0.47265,0.49315,0.33107
0.22598,0.52654,0.48636,0.52662,0.30557
0.22024,0.53321,0.48349,0.53458,0.3004
0.3511,0.40786,0.38463,0.3773,0.41833
0.30622,0.44688,0.41957,0.42005,0.38166
0.27544,0.48086,0.45798,0.46125,0.34767
0.24531,0.51469,0.48515,0.49776,0.31716
0.22581,0.53086,0.48989,0.52331,0.30244
0.31503,0.44147,0.40693,0.41137,0.38651
0.28832,0.46794,0.43498,0.44155,0.36099
0.26875,0.49097,0.45513,0.46876,0.33861
0.24863,0.51005,0.47051,0.48731,0.32327
0.2978,0.45751,0.41187,0.42515,0.3736
0.28109,0.47614,0.4338,0.44933,0.35392
0.26739,0.48921,0.4438,0.46542,0.34175
0.28898,0.46579,0.41743,0.43685,0.36491
0.28152,0.47215,0.42188,0.44509,0.35891
0.28828,0.46692,0.41712,0.43758,0.36414
0.47778,0.26384,0.18742,0.25045,0.5917
0.46259,0.27186,0.1946,0.26662,0.58353
0.41718,0.30978,0.21878,0.3163,0.54586
0.36296,0.36052,0.26207,0.39127,0.49366
0.30304,0.41716,0.32542,0.44369,0.43009
0.26704,0.46052,0.37153,0.49096,0.38335
0.24749,0.48621,0.40426,0.50871,0.35298
0.23742,0.50257,0.41974,0.5058,0.33728
0.24932,0.49351,0.41793,0.49238,0.34166
0.46678,0.27475,0.20745,0.25226,0.57968
0.43123,0.29569,0.22639,0.29037,0.55587
0.37682,0.34126,0.25882,0.34946,0.50847
0.31757,0.39967,0.31967,0.43855,0.44505
0.2607,0.47102,0.37941,0.50468,0.37502
0.22342,0.51575,0.43535,0.54157,0.32697
0.21477,0.53008,0.45045,0.54387,0.31216
0.22139,0.52553,0.4504,0.53115,0.31375
0.43349,0.31054,0.25435,0.27654,0.53842
0.38844,0.34327,0.29737,0.31953,0.49548
0.32911,0.3867,0.3439,0.40124,0.44459
0.26288,0.46203,0.41061,0.5002,0.37193
0.20945,0.53346,0.47891,0.57432,0.3067
0.18855,0.5652,0.50126,0.59353,0.2795
0.19799,0.55794,0.49209,0.56612,0.28362
0.39076,0.35921,0.33187,0.32489,0.47434
0.35011,0.39525,0.38014,0.37315,0.43411
0.28212,0.46204,0.44835,0.4555,0.36562
0.21561,0.5319,0.50627,0.5535,0.30182
0.17792,0.59294,0.55573,0.61311,0.25046
0.16737,0.60109,0.55414,0.61664,0.24573
