Obj1,Obj2,Obj3,Obj4,Obj5,Obj6,Obj7,Obj8,Obj9,Obj10
0.41328,0.40161,0.39772,0.38695,0.42039,0.49592,0.51846,0.4946,0.50411,0.48167
0.39022,0.37527,0.37879,0.36376,0.39506,0.51333,0.54096,0.5163,0.52991,0.50955
0.35885,0.34666,0.35292,0.33144,0.36678,0.53714,0.57245,0.53879,0.57335,0.54103
0.38553,0.37523,0.37825,0.3627,0.38628,0.51118,0.54501,0.52357,0.54167,0.49927
0.41568,0.40718,0.40228,0.39504,0.41538,0.4859,0.51664,0.49529,0.51063,0.46367
0.38859,0.37451,0.37826,0.36228,0.39268,0.51543,0.54356,0.51749,0.52849,0.50872
0.32592,0.3011,0.32444,0.29878,0.32165,0.56817,0.60582,0.58852,0.6041,0.58726
0.32241,0.30349,0.31278,0.29994,0.32249,0.57505,0.60919,0.58983,0.61854,0.57393
0.38549,0.37828,0.37736,0.36751,0.3849,0.51152,0.54647,0.52814,0.54026,0.4859
0.37169,0.35044,0.36529,0.34738,0.36337,0.52513,0.56205,0.56332,0.5427,0.51508
0.32189,0.29698,0.31786,0.3004,0.31365,0.56325,0.61331,0.63045,0.60356,0.56353
0.3676,0.35555,0.36198,0.34795,0.36571,0.52928,0.56495,0.55718,0.55362,0.50127
0.39242,0.37407,0.38205,0.36907,0.38623,0.50302,0.54546,0.53801,0.51835,0.48913
0.38138,0.37131,0.37459,0.36157,0.37748,0.51229,0.55418,0.55165,0.53095,0.48642
0.41372,0.40835,0.40281,0.39745,0.41123,0.48363,0.52328,0.51046,0.49371,0.45484
0.35735,0.34438,0.35531,0.33429,0.35687,0.54039,0.57889,0.5407,0.55315,0.54454
0.24014,0.21348,0.25109,0.21813,0.23342,0.64896,0.70245,0.65735,0.68987,0.6929
0.23826,0.23267,0.23738,0.22196,0.23955,0.64626,0.70646,0.65462,0.71535,0.65834
0.3476,0.34057,0.34329,0.32774,0.34164,0.54659,0.58999,0.5537,0.5885,0.5264
0.22771,0.19746,0.24503,0.19869,0.22292,0.65987,0.71906,0.68935,0.68223,0.70063
0.018845,0,0.040558,0.0064613,0,0.82824,0.97615,0.98976,0.95774,0.90027
0.237,0.23891,0.24206,0.22679,0.23091,0.63265,0.71019,0.69086,0.70388,0.61855
0.25645,0.22868,0.26059,0.24801,0.24039,0.62123,0.70056,0.71802,0.64103,0.61337
0.23323,0.21373,0.23061,0.2323,0.20241,0.64471,0.72602,0.74364,0.68447,0.61707
0.35075,0.34273,0.35094,0.34985,0.332,0.53337,0.59648,0.59713,0.54532,0.49773
0.257,0.2565,0.26954,0.24389,0.24924,0.6281,0.70142,0.63214,0.6298,0.64029
0.12028,0.15297,0.15223,0.12853,0.1226,0.74237,0.86,0.74848,0.7667,0.74913
0.23923,0.26413,0.24817,0.2331,0.24119,0.62676,0.71688,0.66227,0.67413,0.60189
0.13698,0.14053,0.16945,0.13808,0.11262,0.71911,0.86629,0.79457,0.73034,0.72684
0.11489,0.15803,0.14598,0.14814,0.076108,0.72292,0.91139,0.83627,0.7983,0.67768
0.24753,0.25386,0.26035,0.25503,0.20725,0.63154,0.74245,0.72821,0.63827,0.55872
0.23431,0.25897,0.25234,0.23868,0.22508,0.63565,0.74574,0.65543,0.63328,0.61358
0.22299,0.26231,0.24614,0.23267,0.21279,0.63766,0.76218,0.66337,0.66546,0.6001
0.23329,0.26076,0.24603,0.24532,0.22029,0.63563,0.74883,0.68633,0.63823,0.58179
0.3017,0.33311,0.31087,0.30306,0.29439,0.56789,0.6739,0.59502,0.5816,0.52796
0.39299,0.3784,0.38292,0.36839,0.39946,0.51861,0.53749,0.50816,0.52077,0.50956
0.33085,0.30715,0.31874,0.30542,0.33594,0.59356,0.59936,0.56395,0.5991,0.58495
0.33273,0.31354,0.32368,0.30799,0.33744,0.58275,0.59465,0.57017,0.61117,0.56229
0.39267,0.38509,0.38285,0.3718,0.39485,0.50782,0.53883,0.51833,0.53457,0.48179
0.3315,0.30881,0.32747,0.30522,0.33704,0.57759,0.59998,0.57977,0.58144,0.56931
0.20297,0.17144,0.19183,0.18643,0.22122,0.74091,0.72561,0.72319,0.74737,0.70601
0.32958,0.31304,0.31829,0.30929,0.3302,0.57443,0.60168,0.59742,0.61291,0.54335
0.32719,0.30588,0.31731,0.31156,0.32295,0.57731,0.60903,0.61464,0.58272,0.54527
0.33097,0.30881,0.31349,0.31207,0.32712,0.57692,0.60662,0.62024,0.5898,0.53733
0.39074,0.37486,0.38016,0.37285,0.37966,0.51309,0.54919,0.5478,0.51556,0.47515
0.24875,0.22145,0.2473,0.21735,0.25595,0.67916,0.69998,0.63534,0.66508,0.68812
0,0.018173,0.029435,0,0.040753,1,0.98791,0.83693,1,1
0.25984,0.26047,0.25722,0.24928,0.2626,0.63794,0.67807,0.63597,0.68908,0.61128
0.033173,0.0096153,0.026882,0.027293,0.029251,0.91423,0.9602,0.92448,0.84981,0.8691
0.0026008,0.026451,0,0.046042,0.022406,0.93987,1,1,0.94455,0.78866
0.25318,0.24187,0.24785,0.25002,0.24951,0.64491,0.7045,0.71625,0.64603,0.58392
0.12645,0.1493,0.15385,0.13838,0.12331,0.78702,0.86706,0.73363,0.74334,0.76023
0.12495,0.16023,0.14196,0.12861,0.14063,0.80409,0.86492,0.73618,0.77936,0.70663
0.12473,0.14901,0.14154,0.15386,0.12158,0.79132,0.88294,0.8154,0.72517,0.67639
0.25081,0.27404,0.25982,0.25343,0.24698,0.64356,0.72881,0.64276,0.62455,0.57316
0.37089,0.35687,0.3632,0.35011,0.37336,0.55545,0.56182,0.52333,0.54001,0.5206
0.33508,0.31691,0.31628,0.31196,0.34869,0.60125,0.59591,0.56062,0.58948,0.56615
0.37825,0.35973,0.3616,0.35452,0.37525,0.54544,0.55601,0.52978,0.54724,0.50489
0.33105,0.30896,0.3236,0.31225,0.33537,0.60352,0.60043,0.58119,0.57773,0.55629
0.33249,0.32043,0.31529,0.32121,0.33868,0.598,0.60163,0.57511,0.58464,0.53794
0.36738,0.35706,0.35588,0.35396,0.36898,0.54971,0.56776,0.55228,0.53982,0.49669
0.24242,0.23293,0.23028,0.23017,0.25731,0.71805,0.7111,0.63779,0.65325,0.65274
0.24369,0.24742,0.2396,0.24773,0.25516,0.70633,0.70868,0.6378,0.66147,0.60984
0.25523,0.25028,0.23546,0.25069,0.26462,0.70253,0.70161,0.6519,0.64081,0.60164
0.23474,0.25577,0.23744,0.23875,0.24658,0.688,0.73635,0.65312,0.63646,0.59754
0.39362,0.38589,0.37863,0.37242,0.39634,0.52501,0.5423,0.51278,0.51602,0.48287
