Obj1,Obj2,Obj3,Obj4,Obj5,Obj6,Obj7,Obj8,Obj9,Obj10,Obj11,Obj12
1,1,40,1,1,1,20,1,2,1,40,1
2,2,39,2,2,2,19,2,1,2,39,2
3,3,38,3,3,3,18,3,4,3,38,3
4,4,37,4,4,4,17,4,3,4,37,4
5,5,36,5,5,5,16,5,6,5,36,5
6,6,35,6,6,6,15,6,5,6,35,6
7,7,34,7,7,7,14,7,8,7,34,7
8,8,33,8,8,8,13,8,7,8,33,8
9,9,32,9,9,9,12,9,10,9,32,9
10,10,31,10,10,10,11,10,9,10,31,10
11,11,30,11,11,11,10,11,12,11,30,11
12,12,29,12,12,12,9,12,11,12,29,12
13,13,28,13,13,13,8,13,14,13,28,13
14,14,27,14,14,14,7,14,13,14,27,14
15,15,26,15,15,15,6,15,16,15,26,15
16,16,25,16,16,16,5,16,15,16,25,16
17,17,24,17,17,17,4,17,18,17,24,17
18,18,23,18,18,18,3,18,17,18,23,18
19,19,22,19,19,19,2,19,20,19,22,19
20,20,21,20,20,20,1,20,19,20,21,20
21,21,20,21,40,21,21,21,22,21,1,21
22,22,19,22,39,22,22,22,21,22,2,22
23,23,18,23,38,23,23,23,24,23,3,23
24,24,17,24,37,24,24,24,23,24,4,24
25,25,16,25,36,25,25,25,26,25,5,25
26,26,15,26,35,26,26,26,25,26,6,26
27,27,14,27,34,27,27,27,28,27,7,27
28,28,13,28,33,28,28,28,27,28,8,28
29,29,12,29,32,29,29,29,30,29,9,29
30,30,11,30,31,30,30,30,29,30,10,30
31,31,10,31,30,31,31,31,32,31,11,31
32,32,9,32,29,32,32,32,31,32,12,32
33,33,8,33,28,33,33,33,34,33,13,33
34,34,7,34,27,34,34,34,33,34,14,34
35,35,6,35,26,35,35,35,36,35,15,35
36,36,5,36,25,36,36,36,35,36,16,36
37,37,4,37,24,37,37,37,38,37,17,37
38,38,3,38,23,38,38,38,37,38,18,38
39,39,2,39,22,39,39,39,40,39,19,39
40,40,1,40,21,40,40,40,39,40,20,40
