Obj1,Obj2,Obj3,Obj4,Obj5,Obj6
90.9796810,124230.3883497,7.9102943,78.7017982,0.0105529,46.9813791
1577.6666804,65171.6292688,34.2445985,174.4314980,0.0346492,154.2582518
1303.6375322,75499.5395249,33.1193009,148.4883247,0.0280655,124.9477287
86.2137588,124231.6237219,8.4061662,83.0088571,0.0112241,49.9696082
93.0039057,124229.8587423,7.7045264,76.9581002,0.0102649,45.6993763
72.0391611,124235.4803827,10.6830716,96.5247874,0.0138408,61.6193640
91.6650654,124230.2117856,7.8413065,78.1131658,0.0104570,46.5546333
61.8436470,124238.7713826,13.9572981,110.7015751,0.0166866,74.2885679
137.3095515,124219.0678373,4.3599426,63.3496249,0.0045702,20.3463400
302.5227933,115711.5585727,38.4211263,134.7121511,0.0229320,102.0933746
304.8914451,115711.5851068,38.4073413,134.7584175,0.0229690,102.2580702
307.2387048,115711.6105743,38.4055601,134.8738512,0.0230045,102.4162083
1232.8646512,82011.5558562,27.4389618,137.5167367,0.0249445,111.0530179
1595.5626440,64498.0725790,34.3098264,176.2713102,0.0350809,156.1801210
1483.0507348,65174.2056439,40.3729722,179.2291264,0.0352050,156.7324692
1607.5007024,64049.0346637,34.3527582,177.5061709,0.0353687,157.4616194
1578.1272010,65171.6352503,34.3906084,174.4306841,0.0346574,154.2945706
1648.7577347,65170.9557130,32.2294011,173.7269729,0.0344683,153.4529331
1496.4670141,65172.9343485,38.6895787,175.2881257,0.0341878,152.2042226
373.4610419,111890.5193829,37.6372829,122.8983192,0.0221022,98.3991990
1333.3866949,74376.9228420,33.2494023,151.0691918,0.0287664,128.0681179
834.6799699,93693.0032746,34.1467304,119.0923841,0.0232124,103.3415807
1222.0710425,75502.8632826,39.4144387,157.8513672,0.0295016,131.3410965
1374.7349242,69440.3651337,40.0111992,169.7930152,0.0328261,146.1417593
950.6595825,89199.7812124,33.2052324,123.6893226,0.0234883,104.5698620
1675.7787096,62028.4429701,34.3441313,183.8275614,0.0368009,163.8375844
1282.1015192,69443.3020560,38.9682726,174.5771473,0.0337009,150.0361927
85.5731383,124231.8003638,8.4795292,83.6491800,0.0113206,50.3991283
82.1556829,124232.6828147,8.8501577,86.9373697,0.0117998,52.5328572
86.9183962,124231.4474019,8.3342957,82.3746236,0.0111286,49.5443758
84.8717097,124231.9767245,8.5523638,84.2955029,0.0114161,50.8246130
119.5131213,124223.0251729,4.7480022,63.6420156,0.0056624,25.2090222
196.5619229,118394.1820733,21.1930245,90.8384005,0.0145511,64.7816207
100.5054683,124228.1662756,6.8218930,73.9070863,0.0090476,40.2800582
69.9257356,124235.5768683,12.5216978,104.0529025,0.0149125,66.3904925
90.7841444,124230.6815696,7.9788636,79.9717226,0.0106752,47.5259087
129.1859613,124220.9901812,4.5309519,61.6668986,0.0051081,22.7411101
111.5938076,124224.8038979,4.9745007,68.5339106,0.0061545,27.3997513
114.6557047,124224.0927400,4.8839690,66.7560632,0.0059552,26.5127154
104.7290265,124226.8794899,5.2793819,76.4753644,0.0067622,30.1055010
312.6555123,118161.4283744,21.6514497,66.9294143,0.0088775,39.5226601
85.8865449,124231.8440947,8.8927412,82.7093671,0.0117527,52.3230153
121.9101466,124222.4862936,4.6867159,62.6978826,0.0055133,24.5451955
73.2404911,124235.1641483,10.5166544,95.2504831,0.0136592,60.8107665
61.9989243,124238.0948085,13.3019970,110.4800224,0.0160308,71.3691931
53.7487837,124240.2428414,15.4462245,120.3766868,0.0177549,79.0448159,
67.7307636,124236.9149312,12.2789142,105.6613930,0.0151827,67.5935524,
71.4320784,124235.6384185,10.7668189,97.1662452,0.0139315,62.0231583,
67.8248795,124236.5870808,11.2811937,101.0737746,0.0144763,64.4486985,
87.5845277,124231.2705936,8.2622234,81.7451609,0.0110324,49.1161167,
72.6494526,124235.3223876,10.5997337,95.8864609,0.0137502,61.2158219,
121.4447646,124222.5939533,4.6987564,62.8658028,0.0055433,24.6786166,
91.7812778,124230.2138246,7.9018950,78.1114131,0.0104593,46.5649741,
92.3281477,124230.0354285,7.7727183,77.5324817,0.0103609,46.1268787,
114.9896478,124224.0172258,4.8740555,66.5265942,0.0059343,26.4196485,
51.7953792,124241.5022180,16.0138558,122.7804919,0.0183844,81.8471635,
293.6089041,118167.2246990,24.6508557,77.1612368,0.0132320,58.9088222,
229.5044665,119514.8359473,20.4210045,78.8164429,0.0126032,56.1092489,
52.0949867,124241.0345685,15.6414627,123.9815301,0.0179929,80.1043661,
111.9339664,123555.4306801,14.0225948,87.2684911,0.0123035,54.7750379,
56.2068458,124239.3202758,14.5588063,118.5223488,0.0170943,76.1040029,
208.8483526,123322.1375396,10.6729915,69.8680087,0.0062961,28.0300336,
198.1898901,123771.1182824,8.1408851,70.8932784,0.0061061,27.1843607,
874.8807437,106034.0044747,26.9439401,88.7907228,0.0166140,73.9657342,
283.0038188,116385.4094393,38.3464936,135.2823028,0.0228081,101.5417830,
309.0868770,115486.9423496,38.4415360,134.5318912,0.0229743,102.2817783,
313.6639677,115936.3715267,38.3750957,135.7074224,0.0231640,103.1261901,
285.2746013,116385.4348763,38.3322399,135.3249110,0.0228436,101.6996688,
360.0072402,114364.0618183,38.4645666,134.5741345,0.0234656,104.4689764,
313.8466426,115486.9948388,38.4261270,134.6960756,0.0230475,102.6076385,
311.4881520,115486.9692494,38.4279003,134.5794104,0.0230118,102.4487438,
1625.0780677,54399.2149648,39.8783952,208.2696424,0.0411695,183.2867999,
1696.7468476,51255.6807190,40.0353439,215.9531714,0.0427323,190.2443700,
1712.1045345,50582.0665197,40.0677683,217.6225595,0.0430673,191.7357102,
1695.4332342,51480.2583932,42.3628754,215.3881507,0.0426844,190.0307449,
1285.8991797,69443.3167932,41.3052938,174.5401293,0.0337560,150.2818489,
1685.1948829,51929.3348532,42.3409557,214.2813367,0.0424611,189.0370225,
2530.7054603,14883.1999296,43.8720381,313.8300515,0.0617817,275.0520191,
1700.5523568,51255.7199980,42.3737522,215.9428146,0.0427959,190.5273538,
1726.1482883,50133.0290132,42.4275045,218.7294085,0.0433540,193.0119121,
1669.8373558,52602.9495432,42.3077144,212.6278068,0.0421263,187.5464389,
1681.3907007,51929.2997080,40.0028533,214.2925279,0.0423990,188.7603439,
1676.2722685,52153.8402502,39.9919914,213.7413428,0.0422882,188.2670137,
1614.8418402,54848.2980336,39.8556627,207.1887310,0.0409486,182.3031660,
1655.7954590,53051.9928447,39.9473524,211.5421927,0.0418417,186.2790645,
2311.3867280,24312.1517850,41.1511534,287.3286235,0.0564867,251.4786034,
1456.1550897,61809.0071502,39.4683623,190.9784584,0.0374971,166.9370399,
668.4515044,96842.8651102,39.3302521,135.6660701,0.0254738,113.4094515,
1471.5127234,61135.3927857,39.5085452,192.5013325,0.0378320,168.4281279,
