Obj1,Obj2,Obj3,Obj4,Obj5,Obj6,Obj7,Obj8,Obj9,Obj10
0.0036748,0.007194,0.0019021,0.046354,0.011775,0.26657,0.11938,0.0018335,0.18925,0.72647
0.0014014,0.00090486,0.0013337,0.0070224,0.030857,0.010115,0.034211,0.082665,0.2656,0.6163
0.0046956,0.013491,0.0043716,0.098469,0.05901,0.23927,0.12426,0.035416,0.45868,0.51618
0.001085,0.00054923,0.021262,0.041788,0.0073527,0.050788,0.1701,0.23377,0.27931,0.64895
0.012161,0.04306,0.026639,0.001429,0.018352,0.00052039,0.16651,0.55003,0.66043,0.25261
0.0016437,0.0059886,0.0013833,0.0063604,0.01749,0.028887,0.11012,0.090955,0.22952,0.75053
0.0020409,0.00074889,0.0015948,0.00036267,0.0081438,0.0036586,0.003687,0.0021247,0.04371,0.71667
0.0013141,0.0069185,0.00042635,0.0048427,0.0056785,0.0015709,0.0024419,0.0067595,1,0.31082
0.023163,0.02697,0.017847,0.0062372,0.61097,0.18456,0.69064,0.080536,0.34523,0.43749
0.1807,0.012006,0.025746,0.045863,0.12188,0.021676,0.35431,0.94236,0.17066,0.1662
0.0017411,0.0039416,0.003471,0.0010524,0.0045149,0.18517,0.18888,0.040384,0.62355,0.44352
0.015068,0.0045753,0.33358,0.040197,0.025001,0.13173,0.32755,0.22445,0.020818,0.57644
0.00031666,3.4011e-05,0.015793,0.0019615,0.012371,0.029106,0.022166,0.008595,0.21984,0.76849
0.0039593,0.009201,0.017408,0.11619,0.019552,0.17924,0.019009,0.042942,0.031791,0.7304
0.02105,0.050464,0.11051,0.039377,0.034172,0.02123,0.082826,1,0.55763,0.49732
0.042516,0.027969,0.03988,0.038548,0.0069164,0.016287,0.040597,0.39436,0.35019,0.56313
0.00079122,0.0051747,0.039577,0.026913,0.0045759,0.041211,0.028607,0.16167,0.12652,0.68565
0.1539,0.1463,0.46535,0.19207,0.67571,0.12378,0.16563,0.039024,0.80425,0.018111
0.056777,0.0094974,0.046165,0.062317,0.044679,0.029118,0.015687,0.29594,0.69187,0.5334
0.0050624,0.018342,0.069027,0.045855,0.098886,0.23968,0.37933,0.59888,0.34655,0.67858
0.027443,0.011222,0.059033,0.0011802,0.02351,0.1281,0.0015816,0.17067,0.38114,0.71774
0.015127,0.0091833,0.012913,0.051394,0.044111,0.039553,0.0071182,0.50189,0.67855,0.42829
0.0006608,0.0015916,0.010052,0.031991,0.0039157,0.023627,0.00018327,0.035303,0.49558,0.74153
0.035761,0.010102,0.078228,0.065295,0.065899,0.071771,0.11655,0.68677,0.21099,0.56948
7.9516e-05,0.00072196,0.00011678,0.00024808,0.00087342,0.0078022,0.0090511,0.014632,0.48577,0.50075
