Obj1,Obj2,Obj3,Obj4,Obj5,Obj6,Obj7,Obj8,Obj9,Obj10
0.00018274,0.0018358,0.014125,0.044132,0.39812,0.60626,0.96389,0.030685,1.002,0.1523
1.6801e-05,5.163e-05,5.5242e-05,4.4559e-05,5.2333e-05,0.00055266,0.028849,0.51627,0.83901,1.2404
0.0049622,0.0066952,0.011655,0.039291,0.0049489,0.1133,0.21121,0.31207,1.7152,1.1218
0.069698,0.098371,0.064103,0.10413,0.026185,0.14335,0.19172,0.085373,0.52993,1.4138
0.0039548,0.00036239,0.02489,0.012291,0.027643,0.011504,0.085594,0.2869,1.4687,0.97729
0.02262,0.0013789,0.039708,0.032609,0.026497,0.28356,0.34714,0.97172,1.8313,0.07251
3.7448e-06,1.3738e-06,6.5099e-06,3.664e-05,4.3033e-05,0.045874,0.067311,0.074003,1.13,1.6293
0.0057689,5.297e-05,0.0043465,0.015133,0.025157,0.015625,0.21458,0.85285,0.39832,1.1639
0.024465,0.034549,0.11787,0.14571,0.087747,0.048074,0.15417,0.14623,0.5852,1.7043
0.239,0.093028,0.37528,0.063185,0.39745,0.93184,0.60523,0.46252,1.2395,1.2004
0.004829,0.021397,0.0072189,0.015832,0.22584,0.099724,0.42907,0.044108,0.37099,1.8137
0.0052475,0.0065016,0.0058486,0.017971,0.0055552,0.076005,0.0058885,0.033115,0.0314,1.5179
0.0088185,0.0074451,0.016166,0.01591,0.031039,1.5655,0.10167,0.83438,0.25647,1.1952
0.0057069,0.00042512,0.021951,0.059551,0.57265,0.77858,0.27905,0.2544,0.75153,0.90477
0.00095039,0.0013487,0.0025779,0.0039404,0.033694,0.038314,0.26867,1.217,0.41219,0.71271
0.0029137,0.0048125,0.016758,0.010816,0.21071,0.12357,0.21535,0.46674,0.31773,2.1199
0.0006309,4.9734e-05,0.00055031,0.00013744,0.00038331,0.00016708,0.0014775,0.001438,0.011518,1.5853
0.00021307,0.00014186,0.0033409,0.002462,0.084132,0.078468,0.19865,0.074273,0.50713,1.5271
0.094395,0.15825,0.095576,0.27566,0.2357,0.13278,0.16757,0.048751,0.50206,1.863
6.6388e-05,0.00022292,0.00043023,0.00047256,0.0015084,0.022775,0.002384,0.034851,1.1265,1.9713
0.041277,0.0068463,0.1874,0.053803,0.21284,0.61301,0.032616,0.18244,1.2167,0.78956
0.013982,0.0054263,0.063056,0.19883,0.078822,0.015851,0.25582,0.50092,0.08587,1.9243
0.00010173,0.0015517,0.0014376,0.0046894,0.014523,0.069586,0.069957,1.8265,0.14399,0.27783
0.0015408,0.00063499,0.0042159,0.0029562,7.6124e-05,0.010018,0.019737,0.13136,1.0435,1.4891
0.011689,0.010934,0.0005559,0.00071021,0.030269,0.029982,0.46202,0.48301,1.4852,0.6096
0.00084753,0.024925,0.070558,0.0024352,0.29634,0.1074,0.22442,0.12721,0.96694,1.3563
0.023836,0.0090937,0.014982,0.077223,0.113,0.17254,0.85633,0.82996,0.093022,0.64223
0.013734,0.0051141,0.011595,0.011469,0.017545,0.030935,0.012637,0.08206,1.4012,1.2694
0.010797,0.0080354,0.016955,0.016458,0.24317,0.19714,0.90762,0.51467,0.40383,2.307
0.00090601,0.00016431,0.0023216,0.009573,0.014259,0.019225,0.09957,0.078404,0.59043,1.2769
0.011062,0.0022492,0.35571,0.065499,1.3851,0.12256,0.55895,0.69265,0.19867,0.18266
0.00061303,0.00022581,9.6483e-05,0.0051483,0.074693,0.17308,0.22274,0.068811,1.173,1.3038
1.4963e-06,5.2412e-07,3.3778e-05,7.1187e-05,0.00021368,1.9708e-05,0.018077,0.0027245,0.083355,2.0648
0.0019709,0.010795,0.01369,0.15708,0.21483,0.093591,0.59613,1.3392,0.63618,1.1011
0.0013519,0.0028703,0.00092396,0.066289,0.02012,0.031454,0.17505,0.3415,1.6476,0.58975
3.9225e-05,1.5254e-05,0.0001923,0.00018694,0.00043754,0.014186,0.022895,0.0018792,0.12626,1.79
0.0013668,0.0020828,0.081089,0.011869,0.12328,0.053973,0.023355,0.086694,0.185,1.8034
0.0025592,0.0074241,0.0052411,0.010381,0.0063215,0.0011216,0.018571,0.04028,0.046918,2.2236
0.0054425,0.0030872,0.015864,0.011894,0.11415,0.6576,0.99684,0.89873,0.29077,0.65053
0.025811,0.024954,0.03479,0.0042387,0.062375,0.0052059,0.068657,0.036308,0.48601,1.6617
0.0035299,0.024837,0.014466,0.18133,0.10309,0.030223,0.65203,0.18369,1.6237,1.2504
1.6278e-05,2.244e-06,5.6049e-06,5.8461e-05,0.0067177,0.043012,0.034438,0.11126,0.22139,1.5972
0.0086858,0.059724,0.013489,0.11188,0.12597,0.011302,0.0036354,0.0080421,1.7181,0.45797
0.025195,0.021337,0.036848,0.038653,0.060298,0.035022,0.077314,0.17665,0.20891,2.0135
0.33628,0.23921,0.05251,0.10575,0.070317,0.03686,1.1111,0.084077,1.21,0.9115
0.10872,0.18479,0.13152,0.115,0.19152,0.22557,0.11545,0.16373,0.25482,1.6187
0.32616,0.53763,0.32978,0.3481,0.14795,0.43523,0.15528,1.3407,0.43204,0.96996
0.02008,0.27374,0.089383,0.6498,0.10166,0.51891,0.60296,1.0643,1.2047,0.28298
0.022649,0.0090123,0.094492,0.015332,0.17936,0.066407,0.11117,1.887,1.0114,0.44623
0.033625,0.028212,0.0062251,0.0011708,0.042385,0.013385,0.23169,0.19635,1.1451,1.439
0.024471,0.013748,0.015503,0.13709,0.042798,0.10763,0.82638,0.23402,1.1916,1.1563
5.8415e-05,0.00010697,0.00041855,0.00053893,0.00030257,0.0079023,0.18021,1.4498,0.75958,0.721
0.029992,0.053289,0.012043,0.3308,0.29619,0.011603,0.25905,0.35428,0.12045,1.6376
0.0007735,0.00012314,0.0043148,0.047766,0.26068,0.55115,0.50956,0.86333,0.96379,0.096632
0.005335,0.012711,0.30095,0.12134,0.032487,1.033,0.26961,0.058522,1.2059,0.32414
0.05554,0.086931,0.036076,0.0027603,0.033073,0.32137,0.03962,1.4916,1.16,0.22514
0.0028691,0.004257,0.00091173,0.0070788,0.0072138,0.0025435,0.048026,0.049606,0.9323,1.1645
0.00080305,0.0035358,0.00047933,0.0040795,0.010301,0.049197,0.10279,0.74421,0.59519,1.7598
0.11575,0.039237,0.088464,0.29283,0.2071,0.11957,0.45958,0.92132,0.82716,0.74014
0.018652,0.03243,0.016476,0.054276,0.0086102,0.22579,0.031413,0.55358,1.35,1.6402
0.0033899,0.017493,0.0085902,0.017706,0.023659,0.0064034,0.0015578,0.15121,0.96732,1.652
0.0018877,0.012206,0.0026744,0.009608,0.028145,0.00392,0.23677,0.21489,0.077539,1.4347
0.0045454,0.0022968,0.023435,0.00028037,0.0077756,0.0085465,0.028031,0.015932,0.80285,1.9553
0.00034156,2.2799e-05,4.7937e-05,7.9249e-06,0.00076126,0.00056475,0.01115,0.066234,0.36613,1.6483
