Obj1,Obj2,Obj3,Obj4,Obj5,Obj6,Obj7,Obj8,Obj9,Obj10,Obj11,Obj12,Obj13,Obj14,Obj15,Obj16,Obj17,Obj18,Obj19,Obj20
2.7585e-21,2.814e-21,9.8651e-21,3.345e-20,9.1877e-20,2.5539e-19,1.2798e-19,5.9995e-20,7.2142e-19,1.5927e-18,0,5.9481e-17,7.8711e-18,1.1898e-19,0,0,4.838e-18,1.1077e-17,1.8522e-19,1
7.5254e-22,7.3515e-22,2.4981e-21,8.6327e-21,2.0426e-20,1.2954e-20,3.7287e-22,2.0784e-20,0,4.331e-21,5.0817e-21,1.6597e-18,1.6464e-21,1.6138e-23,2.7283e-17,6.6319e-22,2.7147e-21,0,0.44639,0.89488
3.1964e-11,2.7413e-11,3.2641e-10,6.6978e-10,5.2452e-10,6.3978e-10,2.0686e-11,2.7612e-06,0,1.2299e-09,0.00079907,7.7186e-06,4.7461e-07,1.5395e-10,0,1.1213e-06,0.00080112,2.6278e-10,0.89069,0.45484
8.1915e-25,9.3524e-25,7.1489e-24,2.5246e-23,7.7471e-23,5.639e-23,4.7843e-23,1.7994e-24,4.5391e-19,1.1446e-18,4.1154e-19,3.9328e-19,2.5858e-18,8.2681e-21,8.4342e-19,0,6.1157e-17,0,1,0
4.3121e-23,4.3789e-23,1.5993e-22,1.0209e-21,4.602e-21,4.0793e-22,1.9744e-21,2.8783e-24,6.6508e-20,0.0010894,0,0,0.00013215,0,3.1265e-06,0,0.0010826,0.44951,0.00014604,0.89664
1.3245e-40,1.3867e-40,4.0152e-40,1.6642e-39,1.2451e-38,1.168e-37,7.6095e-36,8.375e-35,0,1.3737e-18,6.3746e-20,1.4114e-18,4.3654e-22,2.7677e-17,1.2396e-19,2.1892e-17,6.0741e-19,0.57733,0.57736,0.57737
2.3566e-37,2.3718e-37,6.3846e-37,5.2657e-36,3.5377e-35,5.1387e-35,7.4185e-34,3.8718e-35,8.5579e-35,1.6622e-35,1.6401e-37,1.2265e-17,3.8508e-20,3.8411e-22,1.4765e-17,1.9532e-17,0,0.44724,0.89447,5.4729e-07
5.2348e-25,1.4469e-24,2.5589e-23,7.2205e-22,1.7882e-21,9.7404e-23,2.2335e-22,5.5424e-19,7.9248e-22,1.1073e-21,4e-17,0,0,4.3878e-19,0,0,3.7406e-17,0.89448,0,0.44736
1.3086e-37,1.1627e-37,2.9905e-37,5.3854e-37,5.3014e-36,9.6372e-37,5.9123e-38,9.7466e-34,6.6746e-36,1.5922e-17,3.4989e-23,1.9861e-17,1.2974e-19,0,2.7821e-17,1.8962e-21,3.9489e-17,0.89172,0.45332,1.0011e-07
5.2967e-38,6.4934e-38,1.7252e-37,6.5738e-37,3.4602e-35,2.465e-35,1.6358e-35,2.2279e-35,1.4355e-34,3.0491e-34,6.6988e-34,1.1097e-33,3.2349e-33,1.121e-33,5.6184e-34,4.7144e-34,6.1232e-17,1,0,0
2.5969e-37,3.8525e-37,2.0108e-35,8.1376e-35,1.3718e-18,1.1431e-18,3.2642e-24,2.4539e-19,2.668e-17,4.7494e-18,4.5099e-21,0,3.935e-18,0,7.2114e-22,0,0.44821,5.3145e-08,8.9304e-07,0.89402
9.2809e-39,9.0546e-39,2.9799e-38,1.0883e-37,1.1866e-36,1.8813e-35,1.8734e-36,2.0777e-34,2.223e-35,0,3.4274e-18,1.5682e-23,1.1998e-21,8.0622e-21,4.3646e-23,3.5184e-17,0.57734,1.0319e-08,0.57736,0.57735
7.4111e-11,1.0935e-10,1.1945e-09,4.289e-09,2.658e-07,3.4681e-07,1.9598e-10,2.1151e-07,7.8471e-10,5.1829e-05,5.0201e-05,0,2.0617e-06,0,3.8909e-07,1.2289e-06,0.44786,0,0.89412,0
0,4.8859e-72,1.4947e-71,6.8752e-71,6.6072e-71,6.3635e-71,1.1561e-71,1.9052e-54,3.1122e-38,1.4846e-33,7.5682e-37,5.6602e-35,2.7923e-37,1.5744e-33,7.4188e-40,3.5354e-17,0.5774,0.57733,4.8191e-09,0.57735
2.607e-54,2.9856e-54,6.2793e-53,2.4215e-53,1.6997e-52,1.2158e-53,3.4883e-51,5.7064e-35,2.164e-33,0,3.5354e-17,4.3582e-21,0,0,5.3823e-25,0,0.5774,0.57733,0.57736,0
