Obj1,Obj2,Obj3,Obj4,Obj5,Obj6,Obj7,Obj8,Obj9,Obj10,Obj11,Obj12,Obj13,Obj14,Obj15,Obj16,Obj17,Obj18,Obj19,Obj20
4.4271e-38,4.5526e-38,7.2596e-38,2.5326e-37,1.8663e-38,1.3827e-36,8.7488e-37,2.1618e-36,1.3476e-36,1.1012e-35,6.3696e-37,4.9516e-35,4.8117e-35,2.3819e-35,3.0455e-33,3.694e-35,6.5401e-34,6.1101e-17,0,1
9.7299e-28,4.8337e-26,3.3683e-25,0,9.571e-19,3.5907e-21,1.1006e-18,2.1507e-20,0,1.4094e-18,1.3168e-19,1.0931e-25,2.9163e-17,1.5639e-18,5.5098e-22,3.9434e-22,7.5242e-19,3.1842e-17,0.70711,0.70711
5.3099e-18,8.4164e-18,6.9811e-18,1.0626e-21,1.7198e-18,5.6761e-18,5.9691e-17,0,3.4002e-22,5.7728e-19,2.8624e-19,7.5258e-20,0,3.7215e-19,8.7281e-19,2.0074e-23,1.4538e-18,0,1,7.625e-07
3.0229e-24,9.246e-23,1.298e-21,4.371e-26,3.6346e-20,1.1946e-21,4.1845e-20,1.2446e-20,3.5657e-21,5.5077e-20,4.0021e-19,2.1872e-26,6.0549e-21,4.3234e-17,2.3093e-18,1.9185e-20,0,0.70711,1.4266e-06,0.70711
8.2515e-42,6.7852e-40,4.7316e-39,2.1821e-39,1.9345e-33,1.0253e-35,1.6983e-33,1.8504e-35,6.0236e-37,1.796e-34,0,1.2116e-36,4.2143e-17,8.6719e-18,8.1337e-22,5.5246e-23,4.8423e-18,0.70711,0.70711,1.2955e-06
3.2622e-34,2.04e-34,5.2969e-34,2.4623e-35,1.1009e-35,3.6459e-34,6.1372e-35,2.4759e-34,2.9905e-34,2.632e-36,3.5776e-33,2.7164e-34,1.3687e-34,1.9836e-34,0,6.1232e-17,1.3979e-22,1,9.9155e-07,1.1346e-06
1.1795e-20,4.0416e-19,0,5.3328e-21,4.2156e-17,8.8923e-18,2.815e-18,8.3832e-19,1.1192e-20,0,2.9995e-18,4.2901e-20,8.5626e-19,0,9.6228e-23,8.2122e-23,0.70711,1.4007e-06,1.4266e-06,0.70711
7.5172e-22,0,7.6568e-22,1.7024e-23,0,1.7813e-19,9.1705e-22,1.7357e-19,1.3152e-26,0,1.8987e-20,1.613e-20,4.3297e-17,0,9.61e-23,8.6726e-23,0.70711,1.4106e-06,0.70711,1.2892e-06
4.8444e-19,5.4382e-20,4.3291e-20,6.3904e-21,4.0786e-17,2.5994e-18,2.7744e-18,1.2842e-17,1.0752e-20,0,1.6887e-19,5.4419e-18,0,0,1.4035e-18,7.8507e-23,0.70711,0.70711,1.4059e-06,1.2963e-06
1.1134e-34,1.4804e-35,9.9202e-36,2.9232e-36,1.0445e-35,8.1702e-36,1.2301e-36,4.5257e-37,2.6068e-33,8.9887e-34,3.3536e-35,4.5073e-17,1.1004e-22,3.5035e-19,4.1445e-17,0,1,1.3722e-06,7.0852e-07,1.1265e-06
5.3945e-07,4.5339e-07,5.9207e-07,5.9246e-07,2.1628e-07,2.9158e-07,6.525e-07,4.2977e-07,1.5323e-07,4.9237e-07,4.6417e-07,3.7977e-07,1.865e-07,1.809e-07,4.5528e-07,0.70711,1.618e-06,1.3118e-06,1.0445e-06,0.70711
4.758e-07,3.4212e-07,4.2996e-07,4.5453e-07,3.8577e-07,7.4195e-07,6.8341e-07,1.6842e-07,1.4611e-07,4.9548e-07,4.6308e-07,4.1475e-07,1.3791e-07,1.9329e-07,4.7089e-07,0.70711,1.4807e-06,1.4768e-06,0.70711,1.1961e-06
4.6404e-07,3.3344e-07,4.1907e-07,4.4179e-07,3.6946e-07,7.1881e-07,6.576e-07,1.6313e-07,1.4147e-07,4.4119e-07,4.4458e-07,3.9775e-07,4.4974e-07,1.9251e-07,4.7047e-07,0.70711,1.4808e-06,0.70711,1.4372e-06,1.2711e-06
5.1839e-07,2.8797e-07,4.9994e-07,4.8493e-07,1.7627e-07,7.3524e-07,6.7748e-07,3.1184e-07,1.541e-07,4.5853e-07,4.6679e-07,4.1561e-07,2.0524e-07,1.9438e-07,4.3877e-07,0.70711,0.70711,1.359e-06,1.4327e-06,1.1857e-06
6.9904e-07,4.4074e-07,8.1682e-07,2.2845e-07,1.1907e-07,1.0131e-06,9.4579e-07,1.5135e-07,8.5874e-07,7.1583e-07,6.7353e-07,3.2031e-07,1.6227e-07,2.5704e-07,6.54e-07,1,1.3869e-06,1.1016e-06,1.4497e-06,0
1.0326e-19,1.1904e-19,1.0065e-18,1.8482e-21,9.6614e-20,4.1272e-20,4.2184e-20,1.7801e-19,1.5908e-21,1.0085e-18,5.0965e-22,6.2303e-20,0,4.3274e-17,0.70711,1.4289e-06,1.4067e-06,1.3996e-06,1.4189e-06,0.70711
3.5032e-38,5.447e-40,3.2174e-38,2.5447e-39,1.1893e-36,8.7565e-35,1.1817e-35,2.6494e-33,0,1.1907e-35,9.3604e-37,4.3381e-35,4.3298e-17,0,0.70711,1.4287e-06,1.3929e-06,1.4027e-06,0.70711,1.2946e-06
5.2187e-21,4.5316e-22,3.8661e-22,3.8461e-25,1.1447e-19,3.8525e-21,4.9872e-21,2.4839e-20,1.5072e-18,1.3973e-22,4.3271e-17,0,0,0,0.70711,1.4079e-06,1.3925e-06,0.70711,1.3989e-06,1.2782e-06
3.0062e-53,7.1213e-54,4.857e-56,0,4.6783e-52,0,0,4.0886e-55,1.8898e-50,2.8088e-53,4.2201e-57,3.0872e-34,2.6332e-33,4.3298e-17,0.70711,1.4065e-06,0.70711,1.4056e-06,1.399e-06,1.2802e-06
2.4136e-18,2.4637e-20,5.068e-20,6.4558e-20,4.8973e-21,3.639e-21,3.3029e-19,2.8997e-20,4.3113e-17,3.1293e-24,0,1.9394e-23,3.1636e-18,8.0664e-23,0.70711,0.70711,1.4426e-06,1.3766e-06,1.4133e-06,1.3039e-06
2.5375e-33,2.4957e-33,7.5432e-34,0,2.5445e-34,1.5115e-34,1.7826e-34,2.2045e-37,3.096e-39,8.3793e-34,7.2605e-39,1.0947e-35,6.1232e-17,1.526e-22,1,1.3137e-06,1.1334e-06,1.0776e-06,8.3744e-07,1.0488e-06
1.7361e-35,0,1.588e-35,7.0097e-38,7.1506e-38,1.5257e-36,2.6437e-33,4.3177e-17,3.0246e-18,1.9888e-19,8.5781e-22,4.0865e-24,1.1059e-18,0.70711,1.4129e-06,1.4121e-06,1.3999e-06,1.4331e-06,1.4165e-06,0.70711
3.2064e-19,2.1142e-21,0,9.8142e-22,4.3579e-21,2.7902e-18,2.3076e-19,4.2963e-17,2.219e-18,3.2149e-19,7.2907e-19,3.9217e-18,1.0144e-20,0.70711,1.4117e-06,1.4292e-06,1.4003e-06,1.4307e-06,0.70711,1.2946e-06
3.7923e-52,6.1933e-36,6.5321e-36,2.1962e-38,2.0542e-34,0,2.6421e-33,3.8705e-38,4.3279e-17,4.9471e-25,8.4923e-23,1.2875e-18,0,0.70711,1.409e-06,1.4289e-06,1.4076e-06,0.70711,1.4043e-06,1.2898e-06
3.8662e-20,9.1323e-21,1.1535e-20,0,2.4216e-19,1.6597e-22,4.5438e-18,1.2355e-19,4.3058e-17,6.3734e-20,7.6079e-23,6.9951e-20,0,0.70711,1.4137e-06,1.4085e-06,0.70711,1.401e-06,1.399e-06,1.2694e-06
2.9545e-24,7.3434e-23,5.3817e-24,1.822e-24,1.8329e-20,1.1101e-25,2.1185e-21,0,1.9793e-18,0,0,4.3253e-17,7.2044e-23,0.70711,1.3248e-06,0.70711,1.4967e-06,1.407e-06,1.4043e-06,1.2997e-06
4.4681e-36,7.2969e-20,0,2.4674e-21,0,1.0748e-17,8.7789e-19,6.6625e-19,0,1.611e-20,2.4356e-24,1.1229e-18,4.1913e-17,0.70711,0.70711,1.4593e-06,1.4323e-06,1.4076e-06,1.4158e-06,1.2777e-06
6.3713e-27,5.3811e-22,4.8323e-22,0,9.2985e-25,3.3082e-24,5.0902e-21,7.8747e-19,1.995e-19,6.0099e-18,6.0931e-17,1.0261e-22,6.6332e-23,1,1.2999e-06,6.8678e-07,1.5366e-06,1.1627e-06,8.6208e-07,7.7437e-07
9.7615e-37,0,8.601e-37,3.3196e-39,4.0827e-37,8.8422e-38,1.5322e-34,2.5024e-18,1.6048e-19,8.8865e-30,5.1664e-23,4.3225e-17,0.70711,1.3484e-06,1.4129e-06,1.4121e-06,1.3905e-06,1.4331e-06,1.4821e-06,0.70711
3.0711e-07,1.7883e-07,2.8901e-07,1.0505e-08,1.9108e-07,4.3533e-08,5.3701e-07,1.1865e-08,2.1131e-09,2.9556e-08,1.1813e-12,7.4032e-07,0.70711,1.3442e-06,1.1605e-06,9.384e-07,1.3877e-06,1.4064e-06,0.70711,1.123e-06
6.7849e-37,1.2547e-35,7.9982e-35,0,1.7328e-33,7.6232e-36,1.8033e-33,8.6718e-34,2.0334e-38,1.2572e-34,4.3298e-17,7.562e-24,0.70711,1.3578e-06,1.4228e-06,1.3827e-06,1.4201e-06,0.70711,1.3989e-06,1.2931e-06
