Obj1,Obj2,Obj3,Obj4,Obj5
6.1234e-17,0,0,0,1
4.0616e-18,8.0331e-18,4.5848e-18,0.16498,0.98701
9.8523e-34,1.609e-17,1.6073e-17,0.37142,0.92856
4.672e-18,2.5433e-17,2.61e-17,0.60003,0.80008
4.8851e-17,3.4858e-18,0,0.79983,0.60038
2.7603e-17,4.9713e-17,0,0.92864,0.37146
2.4108e-17,4.8233e-17,2.724e-17,0.9866,0.16443
6.1228e-17,0,1.0156e-18,1.0001,0
6.1885e-34,1.0107e-17,0.16505,0,0.98633
1.1787e-17,0,0.1925,0.19222,0.96238
8.1813e-34,1.3361e-17,0.2182,0.43643,0.87294
8.6161e-34,1.4071e-17,0.2298,0.68829,0.68844
9.0806e-18,9.7914e-18,0.21809,0.87295,0.4364
8.3516e-18,8.3355e-18,0.1927,0.96232,0.19259
6.956e-18,7.2801e-18,0.16444,0.98651,0
7.7995e-20,2.2741e-17,0.37139,0,0.92852
1.3182e-17,2.3255e-17,0.43654,0.21826,0.87311
1.9629e-17,2.2288e-17,0.48504,0.48521,0.72761
2.9698e-17,0,0.485,0.72761,0.48525
2.663e-17,2.2743e-18,0.43648,0.87305,0.21826
1.6626e-17,1.5516e-17,0.3714,0.92855,0
3.671e-17,1.2039e-18,0.59984,0,0.80015
7.3893e-19,4.2143e-17,0.68835,0.22919,0.68829
2.7297e-33,4.4579e-17,0.72803,0.48456,0.48517
4.2089e-17,2.8928e-18,0.68899,0.68767,0.2294
5.1377e-18,3.636e-17,0.59971,0.80029,0
4.8948e-17,0,0.79939,7.9219e-09,0.60085
5.3451e-17,9.9832e-22,0.87291,0.21809,0.43666
5.3322e-17,3.6068e-18,0.8728,0.43664,0.2184
2.9979e-33,4.896e-17,0.79958,0.6007,1.8101e-06
4.9921e-17,2.7213e-17,0.92853,0,0.37147
5.8565e-17,6.5161e-18,0.96234,0.19244,0.19257
5.6855e-17,3.6306e-19,0.92853,0.37141,0
6.0413e-17,3.5063e-20,0.98662,0,0.16468
6.0404e-17,0,0.98646,0.16422,0
6.1235e-17,2.0494e-19,1,0,0
1.006e-17,0.16429,0,0,0.98655
1.1794e-17,0.19261,1.9566e-06,0.19247,0.96248
