Obj1,Obj2,Obj3
1,0,0
0.387717391,0.242509101,0.889305662
0.159081187,0.28240846,0.946011965
0.873118853,0.036368541,0.486148946
0.061833919,0.275770096,0.959232725
0.816441866,0.473737417,0.330144724
0.598585502,0.535037781,0.596179478
0.262227538,0.656077175,0.707671859
0.088001548,0.092367977,0.991828556
0.23121785,0.726282007,0.64734284
0.552619994,0.052618482,0.831770664
0.198219571,0.809184049,0.553109552
0.595335516,0.287998243,0.750088418
0.539401423,0.759285921,0.364048066
0.055828388,0.266508048,0.962214452
0.444715819,0.682584297,0.579919406
0.770102243,0.25879803,0.583066132
0.498967109,0.778507269,0.38073384
0.695383472,0.410409422,0.589920277
0.269009561,0.121925519,0.955388938
0.049886393,0.412188009,0.909732045
0.706717523,0.099946073,0.700400689
0.933751043,0.346911125,0.088100286
0.408945674,0.15573916,0.899171146
0.125241562,0.229771921,0.965152535
0.667040722,0.175415228,0.724076083
0.012512314,0.255145244,0.966821776
0.515502078,0.629198767,0.581692805
0.145533862,0.881246328,0.449694124
0.299638516,0.058268318,0.95227179
0.143568415,0.028905955,0.989218154
0.008039773,0.673973099,0.738712139
0.624450559,0.324139319,0.710630144
0.648878975,0.511155419,0.563627726
0.398022867,0.712324152,0.578076205
0.448901704,0.375688375,0.810768465
0.894007281,0.220777078,0.389882628
0.244993427,0.524014638,0.815712498
0.26150518,0.371067493,0.891024106
0.908387226,0.111697451,0.402934643
0.106003156,0.846240438,0.522149836
0.021342924,0.00304202,0.999767586
0.262265004,0.010280656,0.964941126
0.015606231,0.03453602,0.999281596
0.644886158,0.566885979,0.512603287
0.142762711,0.037676583,0.989039576
0.141207541,0.06705713,0.987706319
0.098269051,0.976960492,0.189450231
0.905973497,0.40365804,0.127562568
0.036030305,0.022923041,0.99908776
0.747011267,0.661813594,0.063062931
0.084801635,0.91550339,0.393271186
0.759207044,0.130852615,0.637559611
0.373377761,0.068591904,0.925140096
0.515374366,0.171363897,0.839656881
0.991126456,0.132564908,0.009741293
0.000964261,0.004727884,0.999988359
0.221280509,0.133711755,0.966000053
0.361508685,0.095858136,0.927427996
0.166300599,0.978132911,0.124900434
0.150896286,0.039057592,0.987777716
0.426021436,0.439528359,0.790772128
0.250390933,0.801885707,0.54247921
0.173492972,0.832709012,0.525828765
0.417631129,0.895105671,0.156109186
0.237717794,0.040944857,0.970470901
0.881344464,0.288432322,0.374217493
0.1524278,0.014474019,0.988208616
0.050980013,0.058254495,0.996999224
0.176265952,0.984041795,0.02433226
0.298604781,0.17820245,0.937592167
0.584269739,0.206743292,0.784784099
0.034745556,0.152951807,0.987622646
0.931044533,0.363576396,0.031117227
0.781336166,0.423347863,0.458574293
0.417720977,0.661623797,0.622706301
0.248440698,0.965532798,0.077612082
0.000948406,0.71660949,0.697473971
0.422291568,0.895498773,0.140541022
0.368460101,0.325059825,0.870961115
0.09213952,0.347301188,0.933216049
0.16335905,0.794371503,0.585053618
0.741114033,0.050630369,0.669467368
0.680004828,0.662765605,0.313584417
0.790026432,0.59151602,0.1611429
0.607364451,0.259522969,0.750837034
0.365286622,0.911188235,0.190530007
0.746972483,0.637302117,0.189415207
0.164949788,0.660630475,0.732365307
0.654815124,0.406144187,0.637388463
0.783853308,0.345460532,0.515975786
0.545621997,0.758320219,0.35671709
0.552067345,0.830372355,0.07552085
0.700124186,0.260072782,0.664972385
0.822327779,0.447474685,0.351487454
0.142876773,0.532865999,0.834050391
0.279543075,0.947662225,0.154246482
0.086459458,0.515363544,0.852599073
0.668064418,0.270916013,0.693032789
0.674093003,0.71697905,0.177594102
0.829218389,0.239622792,0.504953246
0.644946225,0.572467009,0.506286372
0.523960751,0.598031194,0.606484808
0.364091037,0.537091445,0.760901108
0.454890058,0.283833209,0.844105292
0.67055128,0.741561471,0.021155759
0.150232488,0.027789432,0.98826006
0.703926399,0.706625271,0.071891241
0.336373046,0.421550159,0.842109635
0.940462895,0.221777471,0.257573866
0.220342905,0.543854408,0.809735381
0.523825781,0.438368026,0.730369786
0.127059861,0.846659404,0.516743308
0.231360138,0.254914403,0.938877592
0.790835729,0.270246032,0.54913198
0.153474047,0.101897822,0.98288481
0.968459514,0.181653207,0.170552871
0.356558936,0.096739974,0.929250829
0.721513827,0.223332123,0.655393439
0.634467781,0.745242352,0.205096251
0.414886293,0.027540823,0.909456358
0.439572533,0.456066656,0.773808241
0.619639774,0.131804434,0.773740358
0.10002691,0.222791015,0.969720981
0.758900781,0.034795835,0.650275983
0.366467916,0.812341586,0.45365451
0.352954621,0.145781149,0.924213661
0.512385825,0.480908726,0.711468596
0.711951514,0.081302073,0.697506282
0.290910106,0.830670761,0.474718229
0.17231366,0.83631023,0.520474016
0.026394503,0.154946947,0.987570136
0.834173533,0.309987691,0.456138299
0.845611958,0.227415644,0.482931197
0.05500837,0.965786126,0.253438826
0.002210322,0.008795415,0.999958877
0.825946151,0.546485545,0.138443144
0.623105351,0.675126844,0.394896778
0.722039942,0.062569119,0.689016275
0.440251054,0.834790322,0.330611749
0.40171871,0.826228935,0.39492762
0.723607862,0.668927352,0.170081922
0.38928003,0.206475214,0.897679811
0.493851163,0.869065527,0.028916071
0.016196199,0.043285023,0.998931474
0.28641994,0.903295305,0.319407593
0.37775902,0.433191582,0.818317283
0.238501662,0.749648886,0.617368209
0.241273333,0.597173847,0.764964428
0.972419785,0.199413646,0.120970905
