Obj1,Obj2,Obj3,Obj4,Obj5,Obj6,Obj7
26.29 , 48 , 23 , 41.2 , 639.531 , 3 , 6
24.14 , 49 , 22 , 39 , 623.723 , 3 , 6
24.2 , 49 , 22 , 39 , 614.059 , 3 , 6
24.26 , 50 , 22 , 39 , 600.395 , 3 , 6
24.72 , 49 , 22 , 39 , 594.411 , 3 , 6
24.26 , 49 , 22 , 39 , 602.395 , 3 , 6
24.61 , 47 , 17 , 39 , 537.92 , 5 , 6
24.55 , 48 , 17 , 39 , 547.584 , 5 , 6
23.84 , 47 , 17 , 39 , 599.212 , 5 , 6
23.9 , 47 , 17 , 39 , 589.548 , 5 , 6
23.96 , 47 , 17 , 39 , 579.884 , 5 , 6
23.77 , 47 , 17 , 39 , 604.081 , 5 , 6
24.6522 , 47 , 17 , 39 , 536.788 , 5 , 6
24.09 , 47 , 17 , 39 , 561.352 , 5 , 6
25.1413 , 47 , 17 , 39 , 517.292 , 5 , 6
25.4413 , 47 , 17 , 39 , 502.992 , 5 , 6
25.587 , 47 , 17 , 39 , 496.452 , 5 , 6
25.4879 , 47 , 17 , 39 , 496.788 , 5 , 6
25.7294 , 47 , 17 , 39 , 483.32 , 5 , 6
25.7985 , 47 , 17 , 39 , 482.48 , 5 , 6
26.5785 , 47 , 17 , 39 , 464.337 , 5 , 6
25.9966 , 47 , 17 , 39 , 482.144 , 5 , 6
26.0916 , 47 , 17 , 39 , 475.32 , 5 , 6
24.02 , 47 , 17 , 39 , 570.22 , 5 , 6
26.6806 , 47 , 17 , 39 , 456.053 , 5 , 6
23.95 , 49 , 18 , 32.4 , 578.044 , 4 , 6
25.9094 , 48 , 18 , 33.3 , 493.795 , 4 , 6
23.9822 , 49 , 18 , 32.4 , 570.117 , 4 , 6
24.7384 , 49 , 18 , 32.4 , 556.631 , 4 , 6
24.7622 , 49 , 18 , 32.4 , 542.983 , 4 , 6
24.8006 , 49 , 18 , 32.4 , 540.133 , 4 , 6
25.1772 , 49 , 18 , 32.4 , 520.133 , 4 , 6
24.9506 , 49 , 18 , 32.4 , 532.983 , 4 , 6
25.2472 , 49 , 18 , 32.4 , 511.265 , 4 , 6
25.3272 , 49 , 18 , 32.4 , 508.087 , 4 , 6
25.3694 , 49 , 18 , 32.4 , 506.956 , 4 , 6
25.4494 , 49 , 18 , 32.4 , 503.779 , 4 , 6
25.6494 , 48 , 18 , 33 , 504.807 , 4 , 6
25.6494 , 48 , 18 , 33.2 , 500.807 , 4 , 6
25.4494 , 48 , 18 , 33 , 505.779 , 4 , 6
26.2494 , 51 , 17 , 32.4 , 487.545 , 4 , 6
25.4494 , 50 , 18 , 32.4 , 501.779 , 4 , 6
26.3494 , 50 , 18 , 32.4 , 482.545 , 4 , 6
26.4572 , 50 , 18 , 32.4 , 478.348 , 4 , 6
26.4994 , 50 , 18 , 32.4 , 477.217 , 4 , 6
25.9094 , 51 , 18 , 32.4 , 487.795 , 4 , 6
26.2072 , 50 , 17 , 39 , 492.676 , 4 , 6
26.2072 , 51 , 17 , 32.4 , 488.676 , 4 , 6
24.01 , 51 , 18 , 32.4 , 556.38 , 4 , 6
26.4694 , 49 , 17 , 33 , 482.385 , 4 , 6
26.2694 , 49 , 17 , 33 , 482.653 , 4 , 6
26.2272 , 49 , 17 , 33.6 , 471.784 , 4 , 6
26.2694 , 49 , 17 , 33.6 , 470.653 , 4 , 6
26.3385 , 49 , 17 , 33.6 , 469.813 , 4 , 6
26.8175 , 49 , 17 , 33 , 476.721 , 4 , 6
26.6194 , 49 , 17 , 33 , 477.057 , 4 , 6
26.6194 , 49 , 17 , 33.3 , 473.057 , 4 , 6
24.01 , 49 , 18 , 32.4 , 560.38 , 4 , 6
22.99 , 49 , 18 , 33 , 595.909 , 4 , 6
25.1272 , 50 , 17 , 32.4 , 516.999 , 4 , 6
25.5872 , 51 , 17 , 32.4 , 507.015 , 4 , 6
24.18 , 50 , 17 , 32.4 , 566.13 , 4 , 6
24.8972 , 50 , 17 , 32.4 , 536.663 , 4 , 6
24.9572 , 50 , 17 , 32.4 , 526.999 , 4 , 6
24.7872 , 50 , 17 , 32.4 , 536.999 , 4 , 6
24.57 , 50 , 17 , 32.4 , 558.344 , 4 , 6
24.6722 , 50 , 17 , 32.4 , 543.549 , 4 , 6
24.63 , 50 , 17 , 32.4 , 544.68 , 4 , 6
24.33 , 50 , 17 , 32.4 , 558.98 , 4 , 6
24.11 , 50 , 17 , 32.4 , 574.999 , 4 , 6
23.31 , 51 , 18 , 33 , 543.18 , 4 , 6
22.99 , 51 , 18 , 33 , 593.909 , 4 , 6
23.25 , 51 , 18 , 33 , 552.844 , 4 , 6
23.31 , 48 , 18 , 33.2 , 549.18 , 4 , 6
23.18 , 48 , 18 , 33 , 573.713 , 4 , 6
27.2466 , 52 , 17 , 33.6 , 445.527 , 4 , 6
23.31 , 52 , 18 , 33 , 539.18 , 4 , 6
23.31 , 48 , 18 , 33 , 553.18 , 4 , 6
22.99 , 48 , 18 , 33 , 599.909 , 4 , 6
24.18 , 49 , 17 , 32.4 , 570.13 , 4 , 6
22.81 , 52 , 17 , 32.4 , 601.208 , 4 , 6
22.96 , 49 , 18 , 33 , 599.047 , 4 , 6
22.99 , 49 , 18 , 32.4 , 597.909 , 4 , 6
22.89 , 53 , 18 , 32.4 , 585.794 , 4 , 6
23.44 , 52 , 17 , 32.4 , 593.882 , 4 , 6
23.72 , 48 , 17 , 33 , 561.23 , 4 , 6
23.7622 , 48 , 17 , 33 , 560.099 , 4 , 6
22.81 , 51 , 17 , 33 , 603.208 , 4 , 6
26.9275 , 52 , 17 , 33.6 , 445.795 , 4 , 6
23.13 , 53 , 17 , 32.4 , 552.479 , 4 , 6
22.81 , 53 , 17 , 32.4 , 599.208 , 4 , 6
22.88 , 53 , 17 , 32.4 , 590.339 , 4 , 6
23.06 , 53 , 17 , 32.4 , 561.347 , 4 , 6
26.7594 , 49 , 17 , 33.6 , 452.971 , 4 , 6
26.8285 , 49 , 17 , 33.6 , 452.131 , 4 , 6
27.0285 , 49 , 17 , 33.6 , 447.427 , 4 , 6
27.2078 , 49 , 17 , 33.6 , 447.143 , 4 , 6
23.13 , 51 , 17 , 33.2 , 552.479 , 4 , 6
23.13 , 51 , 17 , 33 , 556.479 , 4 , 6
26.88 , 44 , 18 , 39 , 562.89 , 5 , 6
27.58 , 44 , 18 , 39.3 , 545.217 , 5 , 6
26.76 , 44 , 18 , 39 , 582.218 , 5 , 6
26.82 , 44 , 18 , 39 , 572.554 , 5 , 6
27.1 , 44 , 18 , 39.3 , 562.417 , 5 , 6
23.44 , 48 , 14 , 42.6 , 613.336 , 5 , 6
24.35 , 49 , 16 , 33 , 623.325 , 5 , 6
24.13 , 49 , 16 , 33 , 628.485 , 5 , 6
22.8 , 49 , 15 , 33.6 , 544.523 , 5 , 6
23.4484 , 49 , 15 , 33.6 , 533.056 , 5 , 6
23.0122 , 49 , 15 , 33.6 , 533.392 , 5 , 6
24.3089 , 49 , 15 , 33.6 , 493.424 , 5 , 6
24.427 , 49 , 15 , 33.6 , 491.408 , 5 , 6
22.55 , 48 , 15 , 33.6 , 555.7 , 5 , 6
25.9075 , 49 , 15 , 33.6 , 433.036 , 5 , 6
21.26 , 49 , 15 , 39 , 529.455 , 5 , 6
25.7085 , 48 , 15 , 33.6 , 433.335 , 5 , 6
25.5285 , 49 , 15 , 33.6 , 433.672 , 5 , 6
25.5285 , 48 , 15 , 33.6 , 437.672 , 5 , 6
25.6285 , 48 , 15 , 33.6 , 436.512 , 5 , 6
25.6394 , 48 , 15 , 33.6 , 434.175 , 5 , 6
21.26 , 50 , 15 , 33 , 547.455 , 5 , 6
21.5 , 50 , 14 , 33 , 552.255 , 5 , 6
21.18 , 50 , 14 , 33 , 598.984 , 5 , 6
27.2185 , 48 , 17 , 39 , 443.667 , 4 , 6
27.1494 , 48 , 17 , 39 , 444.507 , 4 , 6
21.05 , 55 , 20 , 32.4 , 545.378 , 3 , 6
21.67 , 50 , 14 , 33 , 544.255 , 5 , 6
22.555 , 50 , 14 , 33 , 509.992 , 5 , 6
23.275 , 50 , 14 , 33 , 492.292 , 5 , 6
23.7712 , 50 , 14 , 33 , 484.56 , 5 , 6
23.535 , 50 , 14 , 33 , 486.576 , 5 , 6
23.975 , 50 , 14 , 33 , 472.708 , 5 , 6
24.1528 , 50 , 14 , 33 , 466.679 , 5 , 6
24.074 , 50 , 14 , 33.2 , 468.372 , 5 , 6
23.975 , 50 , 14 , 33.2 , 468.708 , 5 , 6
21.44 , 50 , 14 , 33 , 553.637 , 5 , 6
24.5414 , 50 , 14 , 33.6 , 428.976 , 5 , 6
24.3131 , 50 , 14 , 33.6 , 453.532 , 5 , 6
24.195 , 50 , 14 , 33.6 , 453.548 , 5 , 6
21.44 , 50 , 14 , 33.6 , 541.637 , 5 , 6
19.92 , 56 , 18 , 30.9 , 583.101 , 5 , 6
20.17 , 51 , 14 , 33 , 580.067 , 5 , 6
24.3414 , 50 , 14 , 33.6 , 429.244 , 5 , 6
24.7207 , 50 , 14 , 33.6 , 428.692 , 5 , 6
20.49 , 51 , 14 , 33.6 , 525.337 , 5 , 6
20.49 , 51 , 14 , 33.3 , 529.337 , 5 , 6
21.05 , 56 , 20 , 31.8 , 553.378 , 3 , 6
20.98 , 56 , 20 , 31.8 , 562.247 , 3 , 6
20.8 , 57 , 20 , 31.8 , 591.239 , 3 , 6
19.86 , 57 , 19 , 33 , 569.97 , 3 , 6
20.3 , 51 , 14 , 33 , 532.617 , 5 , 6
20.23 , 51 , 14 , 33 , 541.486 , 5 , 6
19.61 , 52 , 14 , 33 , 567.678 , 5 , 6
21.7289 , 56 , 20 , 32.4 , 512.531 , 3 , 6
21.05 , 56 , 20 , 32.4 , 543.378 , 3 , 6
21.0922 , 56 , 20 , 32.4 , 542.247 , 3 , 6
21.3322 , 56 , 20 , 32.4 , 537.611 , 3 , 6
21.6522 , 56 , 20 , 32.4 , 518.231 , 3 , 6
21.6906 , 56 , 20 , 32.4 , 515.381 , 3 , 6
21.927 , 56 , 20 , 32.4 , 512.195 , 3 , 6
